Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6721;78;"Монитор 2010 №58
Москва 1918 №1
Москва 1919 №2/3
Москва 1922 №6/7
Москва 2019 №1,2,3,4,6,7,8,9,10,11,12
Москва 2020 №1,2,3,4,5,6,7,8,9,10,11,12
Москва 2021 №1,2,3,4,5,6,7,8,9,10,11,12
Москва 2022 №1,2,3,4,5,6,7,8,9,10,11,12
Москва 2023 №1,2,3,4,5,6
МГУКИ вестник 2003 №1 МГУКИ вестник 2004 №1,2,3,4 МГУКИ вестник 2005 №1,2,3 МГУКИ вестник 2006 №1,2,3,3,4 МГУКИ вестник 2007 №1,2,3,4,5,6
МГУКИ вестник 2008 №1,2,3";"Евдокимова Л.В.,
Титунова И.Б."
49;21;"Москва. 1960. № 2/3, 4/6, 7/9, 10; Москва. 1961. № 1/3, 4/6, 7/9, 10/11, 12;
Москва. 1962. № 1/3, 4/6, 7/9, 10/12;
Москва. 1963. № 1/3, 4/6, 7/9, 10/12; Москва. 1964. № 1/3, 4/6, 7/9, 10/12;";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
50;20;"Москва. 1965. № 1/3, 4/6, 7/9, 10/12; Москва. 1966. № 1/3, 4/6, 7/9, 10/12; Москва. 1967. № 1/3, 4/6, 7/9, 10/12; Москва. 1968. № 1/3, 4/6, 7/9, 10/12; Москва. 1969. № 1/3, 4/6, 7/8, 9/10;";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
51;28;"Москва. 1970. № 1/3, 4/6, 7/9, 10/12;
Москва. 1971. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12; Москва. 1972. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12; Москва. 1973. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12; Москва. 1974. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12;";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
52;54;"Москва. 1975. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12; Москва. 1976. № 1/2, 3/4;
Москва. 1983. № 1/2, 3/4; Москва. 2000. № 7-12;
Москва. 2007. № 1-12;
Москва. 2008. № 1-12;
Москва. 2014. № 1-12; Музыка и театр. 1870. № 1/17
Музыкальная жизнь. 1957/1958 (папка)";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
9;31;"Москва: 1976 №,(5-6),(7-8), (9-10), (11-12);
1977 № (1-2),(3-4),(5-6),(7-8), (9-10), (11-12);
1985 № (1-2),(3-4),(5-6); 1986 № № (1-2),(3-
4),(5-6),(7-8), (9-10), (11-12);   1987 № (1-2),(3-
4),(5-6),(7-8), (9-10), (11-12);  1988 № (1-2),(3-
4),(5-6),(7-8), (9-10), (11-12);";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
8;30;"Москва: 1978 № (1-2),(3-4),(5-6),(7-8), (9-10),
(11-12); 1979 № (1-2),(3-4),(5-6),(7-8), (9-10),
(11-12); 1980 № (1-2),(3-4),(5-6),(7-8), (9-10),
(11-12); 1981 (1-2),(3-4),(5-6),(7-8), (9-10), (11-
12); 1982 № (1-2),(3-4),(5-6),(7-8), (9-10), (11-
12);";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
10;42;"Москва: 1983 № (5-7), 7-12; 1984 № (1-2), (3-
4), (5-6),6, (7-8), (9-10), (11-12), 11; 1985 № (7-
8), (9-10), (11-12); 1989 № (1-2),(3-4),(5-6),(7-8),
(9-10), (11-12);  1990 № (1-2),(3-4),(5-6),(7-8);
1996 № 1-3;  1997 № 1-12;";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
11;68;"Москва: 1990 № (8-10), (11-12); 1991 № 1-12
(по 2экз); 1993 № (1-2), (3-4), (5-6), 8, (9-10),
(11- 12); 1994 №1- 12; 1995 № 1-12; 1996 № 4-
12;";"Подготовил: Корокина,
Волошко 27.07.23, с. 10-14"
12;78;"Москва: 1992 (1-4), (5/6-7/8), (9/10-11/12);
1998 № 1-12; 1999 № 7-12; 2000 № 1-6; 2004 №
1-12; 2005 № 1-12; 2006 № 1-12; 2007 № 1-3";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
13;66;"Москва: 2001 № 1-12; 2002 № 1-12; 2003 № 1-
12; 2013 № 1-12; 2007 № 4-7; 2011№ 1-6 №
2012 № 1-12;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
14;89;"Москва: 2009№ 1-12; 2010 № 1-12; 2011№ 7-
12; 2015№ 1-12; 2016 № 1-11; 2017 №1-12;
2018 № 1-12;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
6724;88;"Московский наблюдатель 1994 №5/6,11/12
Московский наблюдатель 1994 №7/8-12
Московский наблюдатель 1995 №7/1/2-17/8
Московский наблюдатель 1995 №1/2-3/4
Московский наблюдатель 1995 №5/6-7/8
Московский наблюдатель 1996 №1/2-3/4
Московский наблюдатель 1996 №1-6
Московский наблюдатель 1997 №1/2-5/6
Московский наблюдатель 1998 №1
Московский наблюдатель 1998 №1
Московский наблюдатель 1997 №1-6
Московский пролетарий 1926 №2-25
Московский пролетарий 1926 №26-47
Московский пролетарий 1927 №9-25
Московский пролетарий 1927 №26-46
МХТ материалы лаборатория 1942 №1 –(4 экз.
Московский экран 1937 №13 (2 шт),14,11,9,8,6,5,4,2
Московский экран 1938 №2-15
Московский экран 1939 №1,2/3,7/8,9,10
Моя Москва 1992 №1,2,3,4,5,6,
Моя Москва 1993 №1/3,4/6
Музыка 1910 №1,2,3,4/5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,
Музыка 1911 №43-56, 
Музыка 1912 №57-83,84-110,
Музыка 1913 №111-136

";"Евдокимова Л.В.,
Титунова И.Б."
6730;84;"Музы 1913 №1, 1914  №2-5
Музей традиции этничность 2012 №1
Музыка 2022 № 1,2,3,4,5 
Музыка для всех 1928 №4-7,9
Музыка в СССР 1987 №2-4,12,4,3,3,2,2
Музыка в СССР 1988 №1-4,4,3,3,2
Музыка в СССР 1989 №4,4, 1-12
Музыка в СССР 1990 №3,3,2,2
Музыка в СССР 1991 №1-9,3,4,1
Музыка и жизнь 1910 №1-12
Музыка и быт 1927 №1-12
Музыка и октябрь  1926 №1-5
Музыка и октябрь  1926 №2-3
Музыка  и революция 1926 №1-12, 12,11,10,9,7/8,5,6,4,3,2,1
Музыка  и революция 1927 №1-12, 12,11,10,9,7/8,5/6,4,3,2,1
Музыка  и революция 1928 №1-12, 12,11,10,9,7/8,5/6,4,3,2,1
Музыка  и революция 1929 №1-8,
7/8,5/6,4,3,2,1
Музыкальная новь 1923 №1-3
Музыкальная новь 1924 №4-11
Музыка и театр 1867 №1,8
Музыка и театр 1924 №5-8-16-19-21-23-25
Музыка и театр 1923 №6-35
Музыка и театр 1922 №5
";"Евдокимова Л.В.,
Титунова И.Б."
6729;216;"Музыка. 1913. № 145 – 162
Музыка. 1914. № 163 – 179
Музыка. 1914. № 180 – 188
Музыка. 1914. № 189 – 203
Музыка. 1915. № 204 – 238
Музыка.  1915. № 220
Музыка. 1916. № 239 – 255
Музыка. 1910. № 1, 12, 13, 17, 18, 19, 20, 21, 22, 23, 26, 30, 31, 36, 37, 40, 45, 46, 49, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 73, 74, 
Музыка. 1912. № 71, 72, 75, 76
Музыка. 1913. № 138 – 141
Музыка. 1912. № 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 92, 93, 94, 95, 96, 98, 99, 100, 101, 101 (2-й экз), 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 136, 138, 139, 140, 142, 143, 144, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 
Музыка. 1914. № 162, 163, 164, 165, 166, 167
Музыка. 1914. № 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178
Музыка. 1914. № 183, 184, 187, 188, 190, 200
Музыка. 1914. № 193, 194, 196, 197, 198, 199, 201, 202, 203
Музыка. 1915. № 205, 207, 208, 209, 210, 211, 212, 213, 214, 221, 222, 223, 224, 226, 227
Музыка. 1916. № 239
Музыка. 1922. № 2 – 3
Музыка : искусство, наука, практика. 2012. № 1, 2
Музыка : искусство, наука, практика. 2013. № 1, 2
Музыка : искусство, наука, практика. 2014, № 1, 2, 3, 4
Музыка : искусство, наука, практика. 2015. № 1, 2, 3, 4
Музыка : искусство, наука, практика. 2017, № 1, 2, 3, 4
Музыка : искусство, наука, практика. 2018, № 1, 2, 3, 4
Музыка : искусство, наука, практика. 2019, № 1, 2, 3, 4
Музыка : искусство, наука, практика. 2020, № 1, 3, 4
Музыка : искусство, наука, практика. 2021, № 1, 2, 4
Музыкальная самодеятельность. 1934. № 1, 2, 3, 4, 5, 7, 8/9, 10, 11, 12
Музыкальная самодеятельность. 1935. № 1 – 12.
Музыкальная психология и психотерапия. 2010. № 6
Музыкальная академия. № 2018. № 1 + нотный альманах
";"Евдокимова Л.В.,
Титунова И.Б.
10.07.2023"
6731;80;"Музыкальная академия  1992 №1,2,3 Музыкальная академия  1993 №4 Музыкальная академия  1994 №1,2,3,4,5 Музыкальная академия  1995  №1,2,3,4-5 Музыкальная академия  1998 №3/4 Музыкальная академия  2006 №4 Музыкальный альманах 2016 №1,2,3,4 Музыкальный альманах 2017 №1,2,3,4 Музыкальная жизнь 1969 №4 Музыкальная жизнь 2002 №7 Музыкальная жизнь 2009 №7
Музыкальная жизнь 2019 №6, 5, 4, 12, 11, 10, 9 Музыкальная жизнь 2018 №7
Музыкальная Пальмира 2022 №5, 6, 4, 7, 8, 3,2 Музыкальная самодеятельность 1936 №1, 2/3,4,6,2,1
Музыкальный журнал 2017 №12,11,10, 9,7/8,6,5,4,3,1/2
Музыкальный журнал 2016 №11/12,10 Музыкальный журнал 2018 №12,11,10,9, 7/8,6,5,4,3,1/2
Музыкальный журнал 2019 №9,7/8,6,5,4, 3,1/2
Музыкальный журнал 2020 №1/2,3,4,5";"Евдокимова Л.В.,
Титунова И.Б."
53;7;Музыкальная жизнь. 1959 (папка) Музыкальная жизнь. 1960 (папка) Музыкальная жизнь. 1961 (папка) Музыкальная жизнь. 1962 (папка) Музыкальная жизнь. 1963 (папка) Музыкальная жизнь. 1964 (папка) Музыкальная жизнь. 1965 (папка);Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
54;6;Музыкальная жизнь. 1966 (папка) Музыкальная жизнь. 1967 (папка) Музыкальная жизнь. 1968 (папка) Музыкальная жизнь. 1969 (папка) Музыкальная жизнь. 1970 (папка) Музыкальная жизнь. 1971 (папка);Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
