Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5037;30;Русская мысль 1892 Кн.1,Кн. 2,1891 Кн.12, 1892 Кн.3, Кн.4, Кн.5, Кн.6, Кн. 7, Кн.8, Кн.9, Кн.10, Кн.11, Кн,12, 1893 Кн.1, Кн.2, Кн.3, Кн. 5, Кн.6, Кн.7, Кн.10, Кн.11, Кн.12, 1894 Кн.11, 1895 Кн.7-8, 1897 Кн.7-8, 1896 Кн.3-4, 1899 Кн.4, Кн.2, Кн.3, 1898 Кн.9;"Борисова, Дмитриевская
27.07.2023
"
5038;30;"Русская мысль 1899 Кн.1, Кн.6, Кн.7, Кн.8, Кн.9, Кн.10, Кн.11, 1900 Кн.1, Кн.2, Кн.3,
Кн.4, Кн.5, Кн.6, Кн.7,Кн.8, Кн.9, Кн.10,
Кн.11, Кн.12, 1901 Кн.1-2, Кн.5-6, Кн.9-10,
1902 Кн.2, Кн.4, Кн.5, Кн.7, Кн.8, Кн.9, Кн.10, Кн.11";"Борисова,
Дмитриевская 27.07.2023"
5039;35;"Русская мысль 1902 Кн.12, 1903 Кн.3, 1904 Кн.10, Кн.11, Кн.12, 1906 Кн.1, Кн.2, Кн.3,
Кн.4, Кн.5, Кн.7, Кн.8, Кн.9, Кн.12, 1908 Кн.3, Кн.10, 1909 Кн.1, Кн.4, 1910 Кн.5, 1909 Кн.6, Кн.8, Кн.7,Кн.9, Кн.10, Кн.11, Кн.12, 1911 Кн.2, Кн.6, 1913 Кн.6, Кн.7, 1915 Кн.4, Кн.5, Кн.6, Кн.7, Кн.10";"Борисова,
Дмитриевская 27.07.2023"
5040;31;"Русская мысль 1915 Кн.11, 1916 Кн.7, Кн.6, Кн.12, 1917 Кн.3-4, Русская речь 1998 №1,
№2, №3, №4, №5, №6, 1882 №1, №3,
Русская старина 1870 Кн.1, Т.2, Т.1,
Т.1(продолжение), 1871 Т.4, 1870 Т.2, 1871 Т.3, Т.2, Т.3-4, 1872 Т.3, Т.5, Т.6, 1873 Т.7, Т.8, 1872 Т.5, Т.6, 1873 Т.4, Т.7";"Борисова,
Дмитриевская 27.07.2023"
5036;37;"Русская мысль.  1886. Кн.10; 1887. Кн. 2; Кн. 3, 1888 Кн.1, 1887 Кн.4, 1887 Кн.6, 1888 Ен.2, 1888 Кн.3, 1888 Кн.4, 1888 Кн.5, 1888 Кн 6,1888 Кн.7, 1888 Кн.8, 1888 Кн.10, 1888 Кн.11, 1889 Кн.3, 1889 Кн.4, 1889 Кн.5, 1890 Кн.5, 1889 Кн.11, 1889 Кн.12, 1888 Кн.12, 1891 Кн.1, 1891 Кн.2, 1890 Кн.9, 1890 Кн.11, 1890 Кн.10, 1891 Кн.3, 1890 Кн.12, 1891 Кн.4, 1891 Кн.5, 1891 Кн.6, 1891 Кн.7, 1891 Кн.8, 1891 Кн.9, 1891 Кн.10, 1891 Кн.11";"Борисова, Дмитриевская
27.07.2023
"
5041;20;"Русская старина 1873 Т.8, 1874 Т.9-10, Т.11, 1875 Т.12, Т.13, Т.12, Т.14, Т.14, 1876 Т.15,
Т.15, Т.16, Т.16, Т.17, 1877 Т.18, Т.19, Т.20, 1878 Т.21, Т.22, Т.23, 1879 Т.24";"Борисова,
Дмитриевская 27.07.2023"
5042;21;"Русская старина 1879 Т.24, Т.25, Т.26, Т.25, Т.26, 1880 Т.27, Т27, Т.28, Т.28, Т.29, Т.29, 1881 Т.30, Т,30, Т 31, Т.31, Т.32, Т.32, 1882
Т.33, Т.33, Т.34, Т.34";"Борисова,
Дмитриевская 27.07.2023"
5043;22;"Русская старина 1882 Т. 7-9 (2 экз), Т.10-11,
1883 Т. 37(2 экз), Т. 5-8, Т. 38,Т. 39, Т 9-12,
Т.40, 1884 Т.41, Т. 1-4, Т. 43, Т. 44, Т. 42, Т. 43,
1885 Т. 9-12, 1886 Т. 49, 50, 1886 Т 50, 51, 51,
52";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5044;32;"Русская старина
1887 Т. 53, Т. 54. Т. 55, Т 56, 59, 1888 Т. 60,
Т.61 (3 экз), 1889 Т. 63,  Т. 63 (3 экз.), Т. 64,
1890 Т. 64, Т. 65, Т. 66, Т. 67, Т. 68 (2 экз.)
1891 Т. 69, Т. 70, Т 71, Т. 72, Т. 75, 1892 Т. 76,
1893 Т. 77,  Т 78 (3экз.), Т. 80";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5045;35;"Русская старина
1894. Т. 81 (2 экз.),  1986 Т. 85 (4 экз.), Т. 87 (2
экз.),  Т, 88 (2 экз.), 1897  Т. 89 (2 экз.), Т. 90
(2 экз.),  Т. 91. 91 – 92, Т. 98, Т 93-94, Т. 94, Т.
95, Т. 96,  Т. 97, 1899 Т. 92, 1899 Т. 97, Т. 98(2
экз.),  Т. 100  (4 экз.), 1900 Т. 101,  Т. 102, 1901
Т. 105, Т. 106";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5046;42;"Русская старина
1900 Т. 103, Т. 104 ( 3 экз) , 1901 Т. 17, 1902 Т.
109,  Т. 110, Т. 111, Т. 113, 1903 Т. 114 ( 3 экз.),
Т. 115 ( 3 экз.), Т. 116 ( 3 экз.), 1904 Т. 117 ( 3
экз.), Т. 118 ( 3 экз.), Т. 119 ( 3 экз.), Т. 120 ( 3
экз.), 1905 Т. 121 ( 3 экз.), Т. 122 ( 3 экз.), Т.
123 ( 3 экз.),Т.124 (3 экз.)";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5047;56;"Русская старина
1906 Т. 125 (3 экз.), Т. 126 (3 экз.), Т. 127 (3
экз.), Т. 128 (3 экз.) 1907 Т. 129 (3 экз.), Т. 130
(3 экз.), Т. 131 (3 экз.), Т 132 (3 экз.), 1908 Т.
133 (3 экз.), Т. 134 (3 экз.), Т. 135 (3 экз.), Т.
136 (3 экз.), 1909 Т. 137 (3 экз.), Т. 138, Т. 139
(3 экз.), Т. 140, Т. 141 (3 экз.), 1910 Т. 142 ( 3
экз.) Т. 143 (3 экз.), Т. 144 (3 экз.)";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5048;50;"Русская старина
1911 Т. 145 (3 экз.), Т. 146 (3 экз.), Т. 147(3
экз.), Т. 148 (3 экз.), 1912 Т. 149  (3 экз.), Т.
150 (3 экз.), Т. 151(3 экз.), Т. 152 (3 экз.), 1913
Т. 155, Т. 156 (3 экз.), 1914 Т. 157 (2 экз.), Т.
158 (4 экз.) Т. 159 (3 экз.), Т. 160, 1916 Т. 165,
Т. 166 (2 экз.), Т. 167 (2 экз.), Т. 168 (3 экз.),
1917 Т. 169 (2 экз.), Т. 170, Т. 171, Т. 172";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5049;24;"Русский артист
1907 Т. 1-13 (подшивка) Русский архив
1863 (2 экз.), 1864  № 1-12 (2 экз.), 1865, 1867,
1886, 1868, 1869, 1869 № 7-12, 1870, 1870 №
10,
Русская сцена
1864 № 1-3 (2 экз.), № 2, № 4-6, № 7-9
(подшивки), № 5, № 9-10 (подшивка), 10-12
(подшивка), 1865 № 1-3 ,(подшивка), № 4-7
(подшивка), № 7";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5051;19;"Русский архив 1875 (2 экз.) 1876
1877 (3 экз.), 1877 № 9-12, 1878 № 1-4, 5-8, 9-
12, 1879 № 1-4 (3 экз.), № 5-8, 1880 ( 3 экз.),
1881 № 1-4";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5050;15;"Русский архив
1868 № 1-12, 1869 № 1-6, 1871 (2 экз.) 1872 №
1-12, № 11, 1873 № 1-12, 1873, 1873 № 1-4,
1874 № 1-6 (2 экз.),  7-12 (3 экз.),";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5052;28;"Русский архив
1881 № 5-8, № 9-12, 1882 № 1-4, № 5-8, 9-12,
1883 № 3-4, № 5-6, 1884 № 1-2, 1884 № 3-4, №
5-6, 1885 № 1-2, № 3-4, № 5-6, № 7-8, № 9-10,
№ 11-12, 1886 № 1-2, № 3-4, № 5-6, № 7-8, №
9-10,  № 11-12, 1887 № 1-2, № 3-4, № 5-6, №
7-8, № 9-10, № 11-12";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5053;30;"Русский архив
1887 № 11-12, 1888 № 1-2, № 3-4, № 5-6, № 7-
8, № 9-10, 1889 № 1-2, № 3-4, № 5-6, № 7-8,
№ 9-10,№ 11-12, 1890 № 1-2, № 3-4, № 5-6, №
7-8, № 9-10,№ 11-12, 1891 № 1-2, № 3-4, № 5-
6, № 7-8, № 9-10,№ 11-12, 1892 № 1-2, № 3-4,
№ 5-6, № 7-8, № 9-10,№ 11-12";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5054;32;"Русский архив
1893 № 10, 11, 1894 № 1-2, № 3-4, № 5-6, № 7-
8, № 9-10, № 11-12, 1895 № 1-4, № 5-8, № 9-12
1896 № 1-4, № 5-8, № 9-12, 1897 № 1-4, № 5,
№ 6, № 7, № 8, № 9, № 10, № 11, № 12, 1898
№ 1-4, № 5-8, № 9-12, 1899 № 1-4, № 5-6, №
5-8, № 9, № 10, № 11, № 12";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5055;44;"Русский архив
1900 № 1, № 2, № 3, № 4, № 5, № 6, № 7, №
8, № 10-12, 1901 № 1-3, № 4, № 5, № 6, № 7,
№ 8, № 9, № 10-12, 1902 № 3, № 4, № 7, №,
8,№ 9, № 10, № 11, 1903 № 1, № 2, № 3, № 4,
№ 5, № 6, № 7, № 8, № 10, № 11, №12, 1904
№ 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, №
10-12";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
