Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6779;22;"Новый зритель 1924 №1-24, 1-24,
25-57, 1-14-17-24, 25-52, 25-49,
Новый зритель 1925 №27-33-35-52, 1-52, 27-52,
1-26, 1-26
Новый зритель 1926 № 1-52, 1-13, 1-3, 14-26, 27-
46-48-50-52, 4-26, 40-52, 27-39,
Новый зритель 1927 №1-26, 1-13, 1-26";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
6780;54;"Новый зритель 1927 № 27-44-46-48-51-52, 27-39, 14-26, 40-52, 27-52,27-40
Новый зритель 1928 №1-26, 41-52,1-26, 1-13, 27-52,27-52, 14-26
Новый зритель 1929 № 1-27-32-38-40-43, 26-43,1-43, 1-25,
Новый крокодил 2004 №20,19,18,17,16,15,14,13,12,11,9,8,7,6,5,4,3,2,1
Новый крокодил 2003 №1-31
Новый мир 2016 №1,2,3,4,5,6
Новый мир 2015 №12,11,10,9,8,7,6,3,4,5

";"Евдокимова Л.В.
Бабаева О.В.

11.07.2023
"
6781;78;"Новый мир 2014 №1,2,3,4,5,6,7,8,9,1011,12
Новый мир 2015 №1,2
Новый мир 2016 №7,8,9,10,11,12
Новый мир 2017 №1,2,3,4,5,6,7,8,9,1011,12 Новый мир 2018 №1,2,3,4,5,6,7,8,9,1011,12 Новый мир 2019 №1,2,3,4,5,6,7,8,9,1011,12 Новый мир 2020 №1,2,3,4,5,6,7,8,9,1011,12
Новый мир 2021 №1,2,3,4,5
Новый мир 2023 №1,2,3,4,5";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
6782;63;"Новый мир 2021 №6,7,8,9,10,11,12 Новый мир 2022 №1,2,3,4,5,6,7,8,9,10,11
Новь 1885 №4,1
Новь 1886 №17,12,6
НоМИ 2004 №1
Ностальгия 2006 №7,8,9,10,11,12,7 Ностальгия 2007 №1,2,3,5,4,6,11,10,7/8
Нувелист 1880 №1-8
Нумизматика 2009 №4,3
Нумизматика 2012 №1,2
Нумизматика 2013 №1,2,2
Нумизматика 2014 №1,2
Нумизматика 2015 № 2,1
Нумизматика 2016 №2,1
Нумизматика 2017 №1,2
Нумизматика 2018 №1,2
Нумизматика 2019 №46,45
Нумизматика 2020 №47 Нумизматический альманах 2009 №2 Обзор графических искусств 1881";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
15а;40;"Новый мир. 1925. № 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12.
1926. № 1, 2, 3, 4, 6, 7, 8-9, 10, 11, 12.
1927. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1928. № 1, 2, 3, 4, 5, 6.";"Фомичева Косова Лукина
29.07.2023"
16а;36;"Новый мир. 1928. № 7, 8, 9, 10, 11, 12.
1931. № 1, 2, 3, 4, 5, 6, 10, 11.
1932. № 1, 2, 3, 4, 5, 6, 9, 10, 11, 12.
1933. № 1, 2, 3, 3, 4, 5, 6, 7-8, 9, 10, 11, 12.";"Фомичева Косова Лукина
29.07.2023"
17а;35;"Новый мир. 1934. № 1, 2,3,4 5,6, 7, 8, 9, 10, 11, 12.
1935. № 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1936. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.";"Фомичева Косова Лукина
29.07.2023"
18а;23;"Новый мир. 1937.№ 1,2, 3, 4,5,6, 7, 8, 9, 10, 11, 12.
1938. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1939. № 1,  2, 3,  4,  5,  6, 7, 8, 9, 10-11, 12.";"Фомичева Косова Лукина
29.07.2023"
19а;27;"Новый мир. 1940. № 1, 2-3, 4-5, 6, 7, 8 , 10, 11, 12.
1941. № 1-2, 3, 4, 5, 6,  7-8, (9-10-12).
1942. № (1-2, 3-4), (5-6, 7), (8, 9, 10).
1943. № (1, 2, 3, 4), (5-6, 7-8), (12, 11, 10, 9).
1944. №  (1-2, 3), (4-5, 6-7), (8-9, 10, 11-12).
1945. № (4, 5-6), (7, 8)";Фомичева Косова Лукина 29.07.2023
20а;27;"Новый мир. 1945. № (9, 11-12).
1946. № (1-2, 3), (4, 5, 6, 7-8), (9, 10, 11, 12).
1947. № (1, 2), (3, 4), (5,6), (7,8), (9,10), (11, 12).
1948. №. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1949 № 1, 2, 3, 4, 5.";Фомичева Косова Лукина 29.07.2023
