Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7095
6445";33;"Театр. 1992. № 7-8, 9-10, 11-12, 1993. № 1 – 2,
3, 4, 5-6, 7, 8,  9-10, 11-12,12, 1994. № 1, 2, 3, 4,
7/8, Театр. 1997. № 1, Театр. 1981. №1, 8,
Театр. 1938. № 10-11, Театр. 1948. № 7,8, 9,
Театр. 1947. № 1, Театр. 1946. № 5-6, Театр.
1945. № 3-4, Театр. 1941. № 5, Театр. 1950.
№ 1, 2, 3, 4, Театр и искусство. 1898, № 1-
52,";Бережнова 25.07.2023
"7122
6472";113;"Театрал 2013, № 1-12
2015, № 1, 2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12
2013, № 2
2016, № 1, 2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12
Театральная афиша 2002, № 8/9, 10, 12
2003, № 1, 2, 3, 4, 5, 6, 8/9, 10, 11, 12
2004, № 1, 3, 4, 5, 6, 8/9, 10, 11, 12
2005, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2006, № 1, 2, 4, 5, 6/7, 11, 12
2007, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2008, № 1, 2. 3, 4, 5, 6/7, 8/9, 10, 11, 12
2009, № 1, 2, 3, 4, 5, 6/7, 8/9, 11, 12
2010, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12";"26.07.2023
Селезнева Л. А. Прудникова С. В."
"7121
6471";217;"Театрал
1896, № 51-54, 55-58, 59-61:
1895, № 1-9;
1895, №10-20, 22-30; 1895 № 20 экз.;
1896, № 51-79, 1896 № 81-100
1897, № 101-122, 123-153, 155-164, 166, 167
1898, № 151-156
2010, № 1-12
2011, № 1-12
2012, № 1-12
2012, № 1-12
2014, № 1, 2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12";"26.07.2023
Селезнева Л. А. Прудникова С. В."
"7123
6473";68;"Театрал
2011, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2012, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2013, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2014, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2015, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2016, № 1, 2, 3, 4, 5, 6/7, 8/9, 10, 11, 12
2017, № 1, 2, 4, 5, 6/7
Театральная библиотека 1879, № 1/2, 3, 4";"26.07.2023
Селезнева Л. А. Прудникова С. В."
"7124
6474";37;"Театральная библиотека 1880, № 1, 2
1891, № (1-4), (5, 6, 8)
1892, № (2-17), (18-19)
1893, № (21-26), (27-32)
1894, № 1, 2, 3, 4, 5, 6
1896, № (45-50), (51-56)
1897, (57-68)
1898, № 1, (73-76)
1879, № 1, 2, 3, 4,
1880, № 1, 2
1891, № (1-4), (5-6, 8)
1892, № (9-12), (13-16), (17, 19)
1893, № (21-23, 25, 26), (27-32)
1894, № (33-38)
1897, № (57-59, 62), (63, 64), (66-68)
1898, № (73, 74, 76)";"26.07.2023
Селезнева Л. А. Прудникова С. В."
"7125
6475";186;"Театральная библиотека 1894, № (39-44)
1896, № (45-56)
1898, № 77
Театральная декада
1934, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12/13, 14,
15
1934, № 19, 20, 21, 22, 23, 24, 25, 26, 27/28, 29,
30. 31, 32
1934, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 17, 18
1934, № 18, 19, 20, 21, 23, 24, 26, 27/28, 29, 30,
31, 32
1935, № 16, 17, 18, 19, 21, 25, 26, 23, 27, 28, 29,
30, 31, 34, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15
1935, № (1-17)
1935, № 20, 21, 23, 25, 30
1936, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14.
15, 17
1936, № 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14
1936, № 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30,
31, 32, 33, 34
1936, № 20, 23, 24, 26, 27, 28, 29, 31, 32, 33
1937, № 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14,
15, 16, 17, 18
1937, № 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16. 18
1936, № 34
1937, № 7, 8, 19, 20, 22, 23, 25, 26, 28, 31, 33,
34, 36";"26.07.2023
Селезнева Л. А. Прудникова С. В."
6795;16;"Театральная жизнь 1961 № 1-6 (подшивка)
1962 № 7-12 (подшивка)
1964 № 19-24 (подшивка)
1965 № 1-12 (подшивка)
1982 № 1-6 (подшивка), №7-12(подшивка)
№ 13-18 (подшивка), № 19-24 (подшивка)
1983 № 1-13(подшивка), № 13-18 (подшивка),
№ 19-24 (подшивка)
1984 № 1-12 (подшивка), № 13-24 (подшивка)
1986 № 13-24 (подшивка)
1989 № 1-10, 12 (подшивка)
1990 № 13-24 (подшивка)";Антонова Коваленко 11.07.2023
6803;63;"Театральная жизнь 2013 № 1, № 4
2014 № 1, № 2
Театральная Россия
1904 № 1 - 1904 № 1-45 (подшивка)
1904 № 1, 1905 № 1-31 (подшивка)
1905 № 5-13, 15, 17,24,28,39-41 (подшивка)
Театральный мирок 1886 №32
1886 № 27-35 (подшивка)
1887 № 8
Театральный октябрь 1926 № 1
Театральный справочник 1941 (13 выпусков)
1941 май
Театры и зрелища
1925 № 17, № 39, № 40, № 41, № 42, № 43, № 44,
№ 45, № 46, № 47, № 48, № 49, № 50, № 51, №
52
1925 № 41, № 42, № 43, № 44, № 45, № 46, № 47,
№ 48, № 49
1925 № 41-42 (подшивка)
1926 № 1-13 (подшивка) Телевидение и радиовещание 1982 №7-12 (подшивка)
1983 № 1-6 (подшивка)
1984 № 1-6 (подшивка), №7-12 (подшивка)
1985 № 1-6 (подшивка), № 7-12 (подшивка)
1986 № 1-6 (подшивка), № 7-12 (подшивка)
1987 № 1-6 (подшивка), № 7-12 (подшивка) Тетради по консерватизму
2021 № 1, № 2";Антонова Коваленко 11.07.2023
6798;20;"Театральная жизнь
1958 № 1-6 (подшивка), № 7-10 (подшивка)
1959 № 1-4 (подшивка), № 5-8 (подшивка)
1989 № 13-24 (подшивка)
1990 № 13-24 (подшивка), № 1-12 (подшивка)
1995 № 1-6 (подшивка)
2006 № 1-6 (подшивка)
2007 № 1-4 (подшивка)
2008 № 1-3 (подшивка), № 4
2009 № 1, № 2-4 (подшивка)
2013 № 2-3 (подшивка)
2010 № 1-4 (подшивка)
2011 № 1-4 (подшивка)
2012 № 1, № 2-4 (подшивка)
2014 № 1
";Антонова
6799;17;"Театральная жизнь
1959 № 9-16 (подшивка), № 17-24 (подшивка)
1960 № 1-6 (подшивка), № 7-12 (подшивка),
№ 13-18 (подшивка), № 19-24 (подшивка)
1961 № 7-12 (подшивка), № 13-18 (подшивка),
№ 19-24 (подшивка)
1962 № 1-6 (подшивка), № 13-18 (подшивка),
№ 19-24 (подшивка)
1963 № 1-6 (подшивка), № 7-12 (подшивка),
№ 13-18 (подшивка)
1968 № 1-12 (подшивка)
1969 № 1-12 (подшивка)";Антонова Коваленко 11.07.2023
